class,ip,ea,vis,bp,fp,li,mg,al,pf6,lio2,o2m,o2,na,ni2,ni3,mn2,mn3,mn4,co,PYR14,FSI,TFSI,co2,h2o
class-00000001,-9.46,-0.63,2.1,572.07,378.77,7.39,78.77,68.31,1.45,4.25,12.4,-1.66,1.65,15.73,69.11,15.74,69.13,159.2,69.13,-3.21,-0.96,-0.52,-1.8,-3.19
class-00000001,-9.71,0.83,1.97,581.65,382.93,4.81,71.17,63.35,1.76,3.43,13.74,-1.8,-0.84,10.6,61.45,10.6,61.47,149.52,61.48,-4.53,-0.68,-0.29,-1.9,-3.77
class-00000001,-9.73,-0.35,0.88,419.94,287.22,20.22,117.13,93.62,4.32,11.49,15.29,-1.95,13.91,41.38,107.61,41.38,107.64,209.46,107.64,-1.29,1.7,1.98,-1.84,0.19
class-00000001,-10.06,1.96,1.05,441.5,299.95,14.46,102.07,84.23,5.15,9.73,17.43,-1.96,8.23,29.91,92.14,29.91,92.16,191.6,92.17,-3.61,2.6,2.86,-1.64,-1.45
class-00000001,-9.97,-0.1,1.77,587.31,385.48,12.69,96.56,80.36,2.53,7.05,14.02,-1.94,6.35,26.37,86.73,26.37,86.75,183.57,86.75,-3.22,0.12,0.43,-1.94,-1.75
class-00000001,-10.42,1.84,1.65,471.94,322.5,14.96,103.77,85.34,4.86,9.82,17.06,-1.96,8.64,30.95,93.85,30.96,93.87,193.86,93.87,-3.64,2.34,2.62,-1.66,-1.55
class-00000001,-10.03,-0.24,1.63,471.02,322.14,17.3,113.58,92.32,2.94,9.28,14.56,-1.59,10.24,35.61,103.34,35.61,103.36,208.24,103.36,-2.92,0.66,0.97,-1.68,-0.61
class-00000001,-9.79,-0.67,3.22,540.42,371.19,19.65,117.21,93.81,2.77,9.94,12.53,-1.67,12.86,40.31,107.54,40.31,107.56,210.06,107.56,-2.02,0.62,0.8,-1.8,-0.13
class-00000001,-9.91,1.61,1.88,485.68,334.32,16.05,105.17,85.92,4.94,10.3,16.57,-2.01,10.09,33.17,95.49,33.17,95.51,194.67,95.51,-3.02,2.45,2.7,-1.67,-1.14
class-00000001,-10.56,-0.09,22.23,976.41,614.35,14.45,102.47,84.37,-0.2,5.94,8.77,-1.1,7.94,29.96,92.58,29.96,92.6,191.73,92.6,-1.06,-1.78,-1.35,-1.56,-1.42
class-00000001,-9.87,-0.75,2.96,569.37,384.69,11.82,92.17,77.2,3.5,7.36,14.6,-1.86,6.03,24.69,82.53,24.69,82.55,177.08,82.55,-3.26,1.08,1.39,-1.83,-1.83
class-00000001,-9.8,-0.24,3.91,630.49,420.34,15.08,102.47,83.97,1.99,7.56,11.81,-1.8,8.9,31.2,92.84,31.2,92.86,190.44,92.87,-2.03,-0.23,0.14,-1.92,-1.25
