class,id,ip,ea,vis,bp,fp,li,mg,al,pf6,lio2,o2m,o2,na,ni2,ni3,mn2,mn3,mn4,co,PYR14,FSI,TFSI,co2,h2o
class-00000001,00000001_00025000_11372,-10.12,-0.63,2.22,472.83,324.93,14.12,98.74,81.55,2.6,7.4,10.92,-1.38,8.24,29.2,89.13,29.21,89.15,185.65,89.15,-2.66,0.53,0.7,-1.53,-1.47
class-00000001,00000001_00025000_11374,-9.54,-0.8,3.06,573.78,387.71,12.81,95.22,79.23,3.36,7.71,14.42,-1.85,6.97,26.67,85.57,26.67,85.59,181.17,85.59,-3.05,0.96,1.28,-1.84,-1.6
class-00000001,00000001_00025000_11417,-9.28,0.41,1.96,468.84,325.08,10.54,86.87,73.31,2.47,6.48,13.67,-1.71,4.79,22.1,77.48,22.1,77.5,168.89,77.5,-3.56,0.17,0.53,-1.78,-3.04
class-00000001,00000001_00025000_11432,-10.72,1.81,0.84,414.52,283.74,15.61,107.71,88.45,4.27,9.34,16.09,-1.85,8.93,32.17,97.47,32.17,97.5,200.56,97.5,-3.4,1.79,2.04,-1.71,-0.95
class-00000001,00000001_00025000_11433,-9.18,0.1,3.13,532.09,361.24,24.5,135.2,106.28,3.36,11.97,12.3,-1.85,16.77,50,125.17,50.01,125.19,235.48,125.2,-1.85,1.14,1.26,-1.85,0.47
class-00000001,00000001_00025000_11444,-10.84,0.99,1.18,453.38,311.43,14.47,103.54,85.45,2.5,8.13,14.26,-1.68,7.82,29.92,93.45,29.93,93.47,194.31,93.47,-3.4,0.15,0.55,-1.73,-2.01
class-00000001,00000001_00025000_11450,-10.04,-0.36,32.7,734.53,494.75,11.64,90.02,75.35,0.49,4.89,8.38,-2.04,6.1,24.4,80.63,24.4,80.65,172.96,80.66,-1.21,-2.04,-1.67,-2.09,-2.41
class-00000001,00000001_00025000_11453,-10.2,0.31,0.89,448.48,303.01,13.58,101.03,83.84,4.01,8.36,16.2,-1.82,7.01,28.14,90.89,28.14,90.92,191.17,90.92,-3.82,1.53,1.81,-1.74,-1.3
class-00000001,00000001_00025000_11454,-11.39,0.4,8.47,825.1,525.28,8.81,80.28,68.9,-0.66,4.01,9.52,-0.94,3.7,18.63,70.94,18.63,70.96,160.06,70.96,-1.26,-2.4,-1.82,-1.36,-3.02
class-00000001,00000001_00025000_11455,-10.73,0.57,3.05,596.51,396.41,17.57,113.25,91.85,2.04,8.85,12.55,-1.17,10.61,36.11,103.17,36.11,103.19,206.96,103.19,-2.82,0.19,0.49,-1.45,-0.94
class-00000001,00000001_00025000_11457,-9.96,-1.11,2.71,546.47,372.68,15.59,101.08,82.33,1.62,6.86,6.95,-1.72,9.66,32.11,91.92,32.11,91.94,186.06,91.94,-0.64,-0.13,-0.15,-1.79,-1.46
class-00000001,00000001_00025000_11467,-9.21,-1.91,50.28,1142.59,699.04,12.92,94.27,78.01,-0.5,5.02,7.46,-1.29,7.03,26.91,84.94,26.92,84.96,177.91,84.96,0.04,-2.31,-1.65,-1.59,-2.1
class-00000001,00000001_00025000_11469,-10.01,-0.26,3.17,577.36,386.3,14.97,104.49,85.81,1.87,7.68,12.93,-1.83,8.34,30.95,94.54,30.96,94.56,194.67,94.56,-2.66,-0.42,-0.05,-1.88,-1.65
class-00000001,00000001_00025000_11471,-8.98,-0.17,10.57,668.43,446.67,15.59,99.17,80.91,3.87,9.73,14.72,-1.97,10.26,32.31,90.16,32.32,90.18,183.55,90.18,-2.8,1.52,1.77,-1.85,-2.17
class-00000001,00000001_00025000_11475,-10.59,-1.2,8.64,618.62,418.89,13.84,98.98,81.71,2.6,7.67,13.23,-1.58,7.68,28.76,89.32,28.76,89.34,186.09,89.34,-3,0.36,0.71,-1.71,-1.48
class-00000001,00000001_00025000_11484,-9.38,-0.09,1.56,497.66,336.9,11.59,89.96,75.42,3.81,7.84,15.32,-2.06,6.04,24.2,80.53,24.2,80.55,173.12,80.55,-3.3,1.31,1.58,-1.97,-2.62
class-00000001,00000001_00025000_11485,-9.19,-0.74,3.45,570.71,384.69,17.95,109.47,88.39,4.14,10.72,15.09,-2.09,12.05,36.95,100.03,36.95,100.05,199.04,100.05,-2.23,1.65,1.89,-1.93,-1.34
class-00000001,00000001_00025000_11492,-10.01,0.75,0.56,434.29,292.13,12.19,93.72,78.46,0.2,5.78,11.6,-1.88,6.16,25.25,83.97,25.25,83.99,179.66,83.99,-1.46,-2.13,-1.71,-2.09,-2.19
class-00000001,00000001_00025000_11496,-9.54,-0.83,2.07,520.83,355.7,12.36,92.94,77.49,2.35,6.91,12.57,-1.59,6.59,25.69,83.44,25.69,83.46,177.25,83.46,-2.49,0.22,0.36,-1.73,-1.75
class-00000001,00000001_00025000_11497,-9.66,-0.3,2.83,531.2,360.83,12.04,91.32,76.38,-0.03,5.65,9.74,-1.05,6.3,25.01,81.87,25.02,81.89,175,81.89,-2.11,-1.41,-1.05,-1.37,-2.15
class-00000001,00000001_00025000_11518,-8.42,-0.52,5.75,606.89,408.82,25.75,141.2,110.71,3.91,13.03,14.29,-2.03,17.71,52.55,130.86,52.55,130.88,244.89,130.88,-1.52,1.5,1.74,-1.95,0.67
class-00000001,00000001_00025000_11563,-9.57,-1.61,1.82,539.02,361.61,19.97,118.31,94.59,2.94,10.19,12.87,-1.69,13.15,40.93,108.62,40.93,108.64,211.64,108.64,-2.06,0.72,0.93,-1.77,-0.16
class-00000001,00000001_00025000_11564,-10.41,0.28,0.62,404.65,271.56,13.77,102.01,84.64,3.13,7.91,15.09,-1.67,7.07,28.42,91.8,28.43,91.82,192.8,91.82,-3.61,0.67,0.95,-1.73,-1.34
class-00000001,00000001_00025000_11571,-10.41,-1.78,8.21,638.94,428.12,16.61,107.54,87.22,1.56,7.97,11.09,-1.2,10,34.27,97.96,34.27,97.98,196.77,97.98,-2.27,-0.4,0,-1.54,-0.92
class-00000001,00000001_00025000_11585,-10.42,0.45,4.7,576.02,401.92,11.98,93.06,77.93,4.92,8.32,16.37,-2.07,6.32,25.12,83.33,25.12,83.35,178.93,83.35,-3.43,2.45,2.72,-1.73,-1.74
class-00000001,00000001_00025000_11589,-10.78,-0.26,2.5,616.14,413.9,10.28,88.91,75.18,3.61,6.82,15.93,-1.91,4.15,21.67,79.13,21.67,79.15,173.32,79.16,-4.33,1.12,1.46,-1.9,-2.27
class-00000001,00000001_00025000_11590,-10.55,0.14,2.91,624.19,418.02,11.76,95.01,79.69,1.22,5.83,11.88,-1.6,5.38,24.56,84.95,24.57,84.97,182.8,84.97,-2.61,-0.99,-0.51,-1.74,-2.2
class-00000001,00000001_00025000_11601,-9.01,0.59,0.51,388.38,267.14,19.4,120.17,96.79,3.81,10.68,15.7,-1.91,12.17,39.72,109.89,39.72,109.91,217.12,109.91,-2.6,1.37,1.47,-1.87,0.05
class-00000001,00000001_00025000_11602,-9.11,0.35,1.21,489.65,332.89,17.5,113.34,91.96,4,10.04,16.06,-1.96,10.54,35.97,103.23,35.97,103.25,207.21,103.25,-2.96,1.56,1.71,-1.89,-0.32
class-00000001,00000001_00025000_11609,-10.56,-0.53,2.21,512.5,345.43,10.19,85.41,72.34,1.9,5.89,12.24,-1.94,4.61,21.34,76.02,21.34,76.04,166.83,76.04,-2.75,-0.44,-0.1,-2,-3.02
class-00000001,00000001_00025000_11631,-10.67,-0.18,2.17,512.71,352.57,12.36,96.08,80.25,2.23,6.75,13.13,-1.67,6.05,25.75,86.14,25.76,86.16,183.7,86.16,-3.19,-0.08,0.31,-1.75,-1.96
class-00000001,00000001_00025000_11639,-10.46,-1.2,3.48,532.96,363.42,12.95,95.05,78.86,2.81,7.46,13.37,-1.8,7.02,26.93,85.55,26.93,85.57,180.03,85.57,-2.84,0.46,0.78,-1.83,-1.87
class-00000001,00000001_00025000_11642,-10.36,-1.52,6.82,594,403.58,14.41,101.04,83.14,2.12,7.29,11.25,-1.44,8.13,29.86,91.34,29.86,91.36,188.94,91.36,-2.51,0,0.38,-1.63,-1.44
class-00000001,00000001_00025000_11650,-10.78,0.06,4.24,540.74,374.56,13.02,98.57,82.04,0.39,5.83,10.2,-1.34,6.59,27.03,88.55,27.03,88.57,187.4,88.57,-1.74,-1.66,-1.12,-1.57,-2.04
class-00000001,00000001_00025000_11680,-10.27,1.4,3.24,527.71,363.6,16.62,109.39,89.16,4.47,10.07,16.01,-1.93,10.14,34.32,99.4,34.32,99.42,201.62,99.42,-3.22,2.06,2.32,-1.69,-1.05
class-00000001,00000001_00025000_11689,-10.28,-1.44,4.19,606.28,407.39,17.22,109.76,88.93,3.27,9.49,14.13,-1.64,10.74,35.51,100.06,35.51,100.08,200.5,100.08,-2.68,0.98,1.25,-1.72,-0.59
class-00000001,00000001_00025000_11690,-11.38,0.12,3.53,503.61,350.66,13.98,101.12,83.62,1.98,7.34,12.66,-1.49,7.57,29,91.16,29.01,91.18,190.49,91.18,-2.97,-0.17,0.2,-1.64,-1.6
class-00000001,00000001_00025000_11695,-8.39,1.62,2.15,512.65,354.64,11.21,89.76,75.44,3.7,7.78,15.66,-2.01,5.45,23.51,80.22,23.51,80.24,173.46,80.24,-3.94,1.26,1.59,-1.9,-3.21
class-00000001,00000001_00025000_11702,-9.11,0.15,3.21,544.06,367.36,7.06,72.56,63.18,4.01,6.26,15.62,-2.05,2.47,15.19,63.59,15.19,63.61,148,63.61,-3.75,1.53,1.82,-1.95,-3.66
class-00000001,00000001_00025000_11704,-9.2,-1.15,4.32,639.32,421.03,10.01,85.6,72.5,2.48,5.92,12.9,-1.71,4.36,21.04,76.15,21.04,76.17,167.21,76.17,-2.85,0.11,0.52,-1.8,-2.39
class-00000001,00000001_00025000_11705,-8.96,0.6,0.88,433.14,294.53,20.12,121.31,97.23,4.16,11.25,15.99,-1.94,12.98,41.17,111.21,41.17,111.23,217.6,111.23,-2.53,1.73,1.77,-1.84,0.22
class-00000001,00000001_00025000_11714,-9.11,-0.01,1.34,515.4,356.03,20.16,123.09,98.7,1.51,9.35,11.92,-1.61,12.63,41.25,112.79,41.25,112.81,220.85,112.81,-1.75,-0.5,-0.34,-1.91,-0.05
class-00000001,00000001_00025000_11716,-11.31,-0.01,3.23,578.65,395.18,13.51,100.06,82.92,3.33,7.99,15.14,-1.81,7.07,28.12,90.08,28.12,90.1,189.16,90.1,-3.58,0.94,1.27,-1.79,-1.53
class-00000001,00000001_00025000_11740,-11.27,0.03,47.19,764.97,507.23,9.19,80.11,68.47,-1.38,3.21,4.37,-0.83,4.2,19.34,70.98,19.34,71,158.76,71,0.87,-2.95,-2.27,-1.05,-3.26
class-00000001,00000001_00025000_11741,-10.12,2.13,0.43,360.86,245.58,11.35,93.07,78.44,4.81,8.22,17.37,-1.92,5.18,23.65,83.03,23.65,83.06,180.27,83.06,-4.48,2.22,2.48,-1.71,-2.36
class-00000001,00000001_00025000_11755,-9.6,-1.2,3.74,557.55,377.1,14.87,101.13,83.02,3.33,8.56,13.93,-1.7,8.92,30.77,91.56,30.77,91.58,188.51,91.58,-2.61,1.02,1.29,-1.75,-1.05
class-00000001,00000001_00025000_11771,-10.35,0.92,5.39,647.84,438.12,13.07,95.27,79.1,-0.8,5.28,8.63,-1.68,7.19,27.14,85.74,27.14,85.76,180.63,85.76,-0.01,-2.76,-2.11,-1.92,-2.24
class-00000001,00000001_00025000_11777,-9.64,-0.04,4.11,585.49,396.39,11.77,92.24,77.27,2.97,7.07,14.21,-1.86,5.93,24.61,82.58,24.61,82.6,177.29,82.6,-3.21,0.62,0.99,-1.88,-1.94
class-00000001,00000001_00025000_11789,-10.25,-1.55,4.44,699.7,458.04,14.25,96.41,79.18,-0.3,5.82,7.79,-1.01,8.38,29.46,87.32,29.46,87.34,179.87,87.34,-0.28,-2.07,-1.41,-1.43,-1.86
class-00000001,00000001_00025000_11823,-9.29,0.71,20.68,803.63,520.87,2.62,62.63,57.09,3.6,3.59,15.5,-2.09,-2.59,6.44,53.25,6.44,53.28,136.62,53.28,-5.63,1.14,1.52,-2.01,-4.54
class-00000001,00000001_00025000_11825,-9.29,-0.13,1.09,440.6,305.28,27.98,148.03,115.4,5.2,15.12,16.86,-2.1,19.87,56.95,137.63,56.95,137.65,254.42,137.65,-1.26,2.66,2.69,-1.76,1.09
class-00000001,00000001_00025000_11831,-9.2,0.32,3.82,540.09,367.43,7.66,74.57,64.56,3.28,6.08,14.96,-1.83,2.76,16.41,65.59,16.41,65.61,150.87,65.62,-4.18,0.92,1.25,-1.79,-3.87
class-00000001,00000001_00025000_11833,-10.89,0.17,8.42,664.05,447.06,8.21,79.48,68.44,1.58,4.52,10.94,-1.59,2.85,17.49,70.06,17.49,70.08,159.33,70.08,-2.67,-0.58,-0.16,-1.65,-3.12
class-00000001,00000001_00025000_11837,-9.87,-0.25,5.25,658.41,437.82,6.6,75.64,66.02,3.16,4.99,14.8,-1.93,1.13,14.31,66.1,14.31,66.12,154.62,66.12,-4.25,0.7,1.07,-1.94,-3.16
class-00000001,00000001_00025000_11838,-9.69,0.52,4,590.16,395.13,9.28,83.52,71.33,0.26,4.63,11.31,-1.55,3.68,19.56,73.97,19.56,73.99,165.21,73.99,-2.21,-1.92,-1.37,-1.73,-2.85
class-00000001,00000001_00025000_11844,-10.37,-1.12,4.12,565.88,384.35,12.81,94.18,78.19,2.78,7.29,13.01,-1.85,6.96,26.66,84.73,26.66,84.75,178.63,84.76,-2.81,0.46,0.78,-1.86,-1.97
class-00000001,00000001_00025000_11851,-10.51,0.34,2.67,510.38,352.57,11.35,93.19,78.41,1.22,5.8,12.33,-1.59,5.05,23.7,83.2,23.7,83.22,180.1,83.22,-2.83,-1.02,-0.54,-1.73,-2.32
class-00000001,00000001_00025000_11864,-11.92,-1.06,0.48,382.79,259.75,22.43,132.36,105.49,3.26,11.4,14.22,-1.3,14.5,45.75,121.68,45.75,121.7,235.17,121.7,-2.81,1.11,1.16,-1.46,0.41
class-00000001,00000001_00025000_11876,-9.42,-0.81,3.85,599.12,400.93,13.25,93.18,77.13,3.7,8.49,14.66,-2.06,7.96,27.57,84.03,27.57,84.05,176.07,84.05,-2.58,1.25,1.52,-1.99,-2.16
class-00000001,00000001_00025000_11877,-9.25,-0.8,3.07,552.02,371.77,11.25,85.96,72.15,3.37,7.41,14.07,-2,6.26,23.53,76.94,23.53,76.96,165.9,76.96,-2.55,0.94,1.24,-1.97,-2.44
class-00000001,00000001_00025000_11878,-10.97,-0.89,4.45,504.99,346.05,11.83,90.68,75.81,0.84,5.79,9.79,-1.84,6.03,24.61,81.3,24.61,81.32,173.67,81.32,-1.68,-1.34,-0.89,-1.92,-2.85
class-00000001,00000001_00025000_11879,-10.06,-1.37,15.52,611.52,412.65,14.57,96.28,78.75,2.48,7.32,8.59,-1.94,9.07,30.18,87.36,30.18,87.38,178.63,87.38,-1.62,0.3,0.51,-1.9,-2.11
class-00000001,00000001_00025000_11881,-10.84,0.47,10.42,650.41,433.82,13.11,95.64,79.36,4.82,8.87,16.51,-2.02,7.41,27.36,86.08,27.37,86.1,181.38,86.1,-3.39,2.37,2.64,-1.71,-1.43
class-00000001,00000001_00025000_11886,-11.02,0.42,9,585.28,412.4,13.59,98.08,81.3,4.83,8.99,16.21,-2.05,7.85,28.36,88.33,28.36,88.35,185.71,88.36,-3.19,2.4,2.65,-1.73,-1.31
class-00000001,00000001_00025000_11887,-11.12,0.41,3.21,512.94,360.55,14.09,99.87,82.57,4.59,9.06,16.05,-1.96,8.2,29.29,90.08,29.29,90.1,188.25,90.1,-3.25,2.17,2.41,-1.7,-1.24
class-00000001,00000001_00025000_11888,-11.06,0.41,5.83,553.91,390.72,14.37,100.31,82.76,4.85,9.38,16.38,-2.03,8.59,29.89,90.58,29.89,90.6,188.58,90.6,-3.1,2.41,2.66,-1.71,-1.15
class-00000001,00000001_00025000_11889,-10.96,0.41,10.71,593.06,419.18,14.6,100.68,82.92,5.05,9.66,16.64,-2.09,8.93,30.41,91,30.41,91.02,188.87,91.02,-2.96,2.59,2.85,-1.72,-1.07
class-00000001,00000001_00025000_11890,-11.37,0.41,10.5,583.42,407.11,13,97.55,81.09,2.68,7.38,13.83,-1.71,6.8,27.14,87.69,27.14,87.71,185.36,87.71,-3.37,0.44,0.8,-1.75,-1.76
class-00000001,00000001_00025000_11891,-11.28,0.41,13.95,609.43,424.3,13.03,97.55,81.07,2.96,7.55,14.13,-1.77,6.86,27.21,87.7,27.21,87.72,185.32,87.72,-3.45,0.71,1.05,-1.76,-1.73
class-00000001,00000001_00025000_11894,-9.26,0.94,1.07,444.94,304.96,9.99,85.31,72.33,1.86,5.86,13.19,-2.04,4.25,20.96,75.89,20.96,75.91,166.9,75.91,-3.06,-0.56,-0.22,-2.1,-3.24
class-00000001,00000001_00025000_11896,-9.36,0.67,1.69,565.81,375.68,6.66,73.15,64.01,0.73,3.84,11.59,-1.77,1.64,14.26,63.9,14.26,63.92,150.01,63.93,-2.31,-1.54,-1.08,-1.98,-3.62
class-00000001,00000001_00025000_11898,-10.37,1.63,1.06,465.65,319.51,11.01,88.8,74.9,3.71,7.58,15.46,-1.86,5.36,23.04,79.24,23.04,79.26,172.49,79.26,-3.95,1.26,1.59,-1.75,-2.99
class-00000001,00000001_00025000_11899,-8.98,0.57,0.91,431.18,301.69,22.07,127.72,101.66,4.73,12.39,16.42,-2.04,14.87,45.14,117.52,45.14,117.54,226.81,117.55,-2.22,2.26,2.33,-1.81,0.53
class-00000001,00000001_00025000_11920,-10.61,0.35,0.96,453.12,303.97,11.07,92.85,78.32,3.22,6.81,15.18,-1.73,4.67,23.08,82.78,23.08,82.8,179.97,82.8,-4.16,0.78,1.08,-1.75,-2.01
class-00000001,00000001_00025000_11931,-9.43,-0.8,9.8,704.28,463.28,12.71,91.57,75.95,3.35,8,14.14,-2.11,7.36,26.53,82.46,26.53,82.48,173.58,82.48,-2.64,0.92,1.22,-2.05,-2.32
class-00000001,00000001_00025000_11950,-10.01,1.47,2.31,481.08,325.62,15.76,107.34,87.88,1.8,8.07,12.73,-1.47,8.97,32.45,97.29,32.46,97.31,198.96,97.31,-2.84,-0.35,0.1,-1.59,-1.5
class-00000001,00000001_00025000_11966,-9.04,-0.06,1.12,463.53,318.72,25.69,140.89,110.62,4.32,13.49,15.7,-2,17.72,52.35,130.51,52.35,130.53,244.78,130.53,-1.66,1.88,1.91,-1.87,0.83
class-00000001,00000001_00025000_11967,-9.07,0.33,0.92,451.32,306.98,18.98,118.06,95.13,3.84,10.56,15.72,-1.92,11.86,38.89,107.93,38.9,107.95,213.49,107.95,-2.7,1.43,1.53,-1.87,-0.04
class-00000001,00000001_00025000_11987,-9.62,-1.25,4.64,647.57,427.04,14.36,100.33,82.57,2.93,7.89,13.05,-1.66,8.23,29.75,90.69,29.75,90.71,187.64,90.71,-2.58,0.63,0.96,-1.75,-1.19
class-00000001,00000001_00025000_11995,-10.27,-1.56,2.65,589.51,393.49,18.18,114.88,92.79,3.66,10.04,14.81,-1.74,11.32,37.4,104.86,37.4,104.88,208.73,104.88,-2.68,1.26,1.49,-1.73,-0.26
class-00000001,00000001_00025000_12006,-9.82,-0.03,1.85,510.5,346.86,13.95,97.02,80.05,3.19,8.09,13.81,-2.12,8.27,28.92,87.62,28.92,87.64,182.27,87.64,-2.25,0.73,0.98,-2.08,-1.44
class-00000001,00000001_00025000_12015,-9.46,0.12,2.66,467.39,330.45,27.62,147.51,115.2,5.23,14.93,16.94,-2.15,19.51,56.31,137.01,56.31,137.03,254.34,137.03,-1.39,2.65,2.87,-1.78,1
class-00000001,00000001_00025000_12016,-9.93,1.24,0.44,311.25,217.56,30.8,158.71,123.01,5.63,16.47,17.19,-2.07,22.15,62.54,148.01,62.54,148.03,270.21,148.03,-1.17,3.04,3.17,-1.53,1.23
class-00000001,00000001_00025000_12017,-9.89,1.27,0.53,333.44,234.44,31.2,160.06,123.91,6.11,17.09,18.34,-2.11,22.55,63.38,149.34,63.38,149.37,272.04,149.37,-0.98,3.47,3.66,-1.5,1.34
class-00000001,00000001_00025000_12021,-9.01,-0.77,13.17,669.72,452.02,13.55,97.94,81,2.13,7.21,12.57,-1.69,7.45,28.19,88.3,28.19,88.32,184.67,88.32,-2.68,-0.07,0.37,-1.82,-1.75
class-00000001,00000001_00025000_12056,-10.45,0.23,1.32,458.85,318.72,12.97,97.78,81.49,3.57,7.49,13.39,-1.79,6.84,26.95,87.79,26.95,87.82,186.32,87.82,-3.24,1.27,1.5,-1.65,-1.68
class-00000001,00000001_00025000_12069,-9.77,-0.03,6.55,586.44,400.27,16.11,104.32,84.87,2.07,7.5,8.71,-2.08,10.03,33.28,94.9,33.28,94.92,191.85,94.92,-1.49,-0.13,0.1,-2.1,-1.29
class-00000001,00000001_00025000_12096,-8.84,-0.27,3.04,540.49,371.55,22.57,128.85,102.07,3.29,11.53,13.67,-1.83,15.15,46.16,118.83,46.16,118.85,227.16,118.85,-1.97,1.04,1.17,-1.87,0.27
class-00000001,00000001_00025000_12106,-9.65,0.02,7.44,669.19,443.75,12.89,94.71,78.68,3.48,7.86,14.58,-1.94,7.17,26.88,85.19,26.88,85.21,179.87,85.21,-3.04,1.08,1.39,-1.9,-1.57
class-00000001,00000001_00025000_12107,-10.41,0.33,3.87,662.73,437.54,2.94,63.89,58.13,1.36,2.61,13.25,-1.81,-2.33,6.98,54.41,6.98,54.43,138.82,54.44,-4.63,-1.04,-0.59,-1.89,-4.54
class-00000001,00000001_00025000_12109,-10.18,0.42,0.88,453.59,311.28,10.5,90.32,76.48,4.6,7.48,16.95,-1.95,4.39,22.04,80.35,22.04,80.37,176.28,80.37,-4.42,2.06,2.35,-1.77,-2.13
class-00000001,00000001_00025000_12111,-10.7,1.61,2.38,509.33,345.67,15.25,107.38,88.28,1.3,7.51,12.82,-1.56,8.31,31.46,97.09,31.47,97.12,200.23,97.12,-2.42,-0.98,-0.51,-1.76,-1.39
class-00000001,00000001_00025000_12112,-10.63,-0.2,3.64,573.39,384.39,11.95,94.28,78.87,2.4,6.79,13.79,-1.7,5.69,24.94,84.44,24.94,84.46,180.69,84.47,-3.46,0.07,0.45,-1.77,-2
class-00000001,00000001_00025000_12116,-9.17,0.38,3.35,562,385.9,8.79,78.75,67.46,3.14,6.37,14.82,-2.18,3.75,18.68,69.68,18.68,69.7,156.81,69.7,-3.76,0.7,1.02,-2.11,-3.42
class-00000001,00000001_00025000_12132,-6.87,-0.15,15.14,732.56,483.05,19.23,118.18,94.84,2.44,9.53,12.77,-1.89,12.13,39.54,108.22,39.54,108.24,212.65,108.25,-2,0.23,0.66,-2.02,-0.35
class-00000001,00000001_00025000_12140,-11.45,-0.01,12.87,569.62,395.35,8.97,80.86,69.34,-0.38,3.78,6.57,-1,3.82,18.89,71.49,18.9,71.52,160.94,71.52,-0.52,-2.19,-1.7,-1.21,-3.25
class-00000001,00000001_00025000_12141,-11.17,0.2,143.18,643.31,452.3,9.79,81.32,69.29,1.57,4.27,4.31,-1.14,5.13,20.62,72.21,20.62,72.23,160.56,72.23,-0.91,0.06,0.25,-1.06,-3.07
class-00000001,00000001_00025000_12182,-9.55,-0.4,3.93,573.49,399.28,13.87,97.84,80.88,4.72,9.26,16.72,-2.07,8.2,28.89,88.26,28.89,88.28,184.5,88.28,-3.16,2.23,2.43,-1.83,-1.27
class-00000001,00000001_00025000_12217,-11.19,0.13,0.97,493.57,329.79,16.93,112.67,91.82,1.65,8.34,13.03,-1.39,9.81,34.77,102.37,34.78,102.39,207.24,102.39,-2.36,-0.56,-0.16,-1.64,-0.8
class-00000001,00000001_00025000_12264,-9.11,-0.92,2.74,520.99,357,21.25,118.95,94.44,4.32,11.93,15.01,-2.01,15.01,43.54,109.67,43.54,109.69,210.74,109.69,-1.16,1.75,2.04,-1.88,0.32
class-00000001,00000001_00025000_12292,-9.04,-0.21,10.9,738.75,482.18,13.71,95.6,78.93,2.88,7.84,13.22,-1.9,8.16,28.52,86.31,28.52,86.33,179.96,86.33,-2.68,0.6,0.94,-1.92,-1.6
class-00000001,00000001_00025000_12300,-9.32,-0.26,3.37,556.28,387.78,13.9,97.48,80.55,4.74,9.3,16.64,-2.09,8.31,28.96,87.97,28.96,87.99,183.75,87.99,-3.14,2.26,2.47,-1.81,-1.34
class-00000001,00000001_00025000_12321,-9.1,2.69,2.13,488.84,344.92,6.44,73.22,64.21,5.7,7,18.28,-2.2,1.56,14.02,63.86,14.02,63.88,150.9,63.88,-4.23,3.1,3.39,-1.8,-3.6
class-00000001,00000001_00025000_12322,-9.1,2.69,1.57,466,327.52,6.06,72.25,63.61,5.62,6.75,18.21,-2.18,1.12,13.23,62.87,13.23,62.89,149.74,62.89,-4.46,3.02,3.31,-1.81,-3.71
class-00000001,00000001_00025000_12329,-9.65,0.12,5.09,557.21,383.29,14.14,98.48,81.24,3.82,8.73,15.15,-1.89,8.41,29.39,88.94,29.39,88.96,185.06,88.96,-3.02,1.42,1.7,-1.82,-1.26
class-00000001,00000001_00025000_12333,-10.57,0.59,2.19,456.33,325.83,17.38,109.97,89.24,4.88,10.92,16.89,-2.1,11.23,35.87,100.21,35.87,100.23,201.5,100.23,-2.83,2.34,2.62,-1.74,-1.03
class-00000001,00000001_00025000_12338,-11.94,-0.36,14.89,639.14,435.28,16,108.58,88.73,0.1,5.65,4.02,-0.76,9.12,32.98,98.5,32.99,98.52,200.7,98.52,-0.82,-1.41,-0.85,-1.15,-1.55
class-00000001,00000001_00025000_12343,-11.15,0.42,6.28,575.67,404.66,14.36,100.26,82.71,5.25,9.74,17.26,-2.08,8.61,29.9,90.54,29.9,90.56,188.49,90.56,-3.08,2.75,3.01,-1.71,-1.08
class-00000001,00000001_00025000_12344,-9.5,0.51,1.9,494.78,341.35,11.15,92.01,77.51,3.35,7.01,14.89,-1.87,5.04,23.35,82.1,23.35,82.12,178.24,82.12,-3.92,0.95,1.27,-1.81,-2.35
class-00000001,00000001_00025000_12355,-9.39,-0.33,8.84,710.44,469.54,11.97,92.42,77.27,1.78,6.38,12.27,-1.61,6.17,25.03,82.83,25.03,82.85,177.16,82.85,-2.53,-0.38,0.07,-1.79,-1.98
class-00000001,00000001_00025000_12363,-10.29,0.15,1.18,463.19,312.19,12.09,95.52,79.99,3.76,7.5,15.29,-1.78,5.76,25.14,85.52,25.15,85.54,183.22,85.54,-3.93,1.34,1.62,-1.7,-1.75
class-00000001,00000001_00025000_12365,-9.13,-0.87,18.52,894.88,576.11,9.83,84.79,71.89,-2.28,3.18,6.63,-1.4,4.18,20.64,75.38,20.64,75.4,165.84,75.41,1.54,-4.43,-3.76,-1.7,-2.76
class-00000001,00000001_00025000_12366,-9.75,0.26,13.53,748.99,494.84,3.93,63.28,57.15,-1.65,1.44,8.28,-1.58,-0.58,8.9,54.23,8.9,54.25,136.14,54.25,-0.22,-3.89,-3.36,-1.71,-4.5
class-00000001,00000001_00025000_12377,-11.07,0.17,4.26,633.58,427.18,6.31,74.86,65.49,3.27,5,15.36,-1.91,0.75,13.75,65.32,13.75,65.34,153.62,65.34,-4.79,0.81,1.16,-1.9,-3.38
class-00000001,00000001_00025000_12380,-10.17,-0.83,5.2,585.61,401.57,14.19,98.84,81.52,4.67,9.28,16.26,-2,8.5,29.49,89.26,29.5,89.28,185.69,89.28,-2.93,2.15,2.4,-1.78,-1.13
class-00000001,00000001_00025000_12381,-11.28,0.49,1.57,489.81,340.22,12.06,94.26,78.93,5.02,8.5,17.31,-2,6.13,25.21,84.4,25.21,84.42,181.06,84.42,-3.77,2.48,2.75,-1.73,-1.62
class-00000001,00000001_00025000_12382,-9.16,0,2.84,525.56,363.26,24.03,130.97,103.14,5.04,13.57,16.46,-2.08,17.01,49.14,121.22,49.14,121.24,229.07,121.24,-1.85,2.51,2.71,-1.76,0.44
