class,ip,ea,vis,bp,fp,li,lio2,o2m,o2
class-00000001,-8.96,0.6,0.88,433.14,294.53,20.12,11.25,15.99,-1.94
class-00000001,-9.11,-0.01,1.34,515.4,356.03,20.16,9.35,11.92,-1.61
class-00000001,-11.31,-0.01,3.23,578.65,395.18,13.51,7.99,15.14,-1.81
class-00000001,-11.27,0.03,47.19,764.97,507.23,9.19,3.21,4.37,-0.83
class-00000001,-10.12,2.13,0.43,360.86,245.58,11.35,8.22,17.37,-1.92
class-00000001,-9.6,-1.2,3.74,557.55,377.1,14.87,8.56,13.93,-1.7
class-00000001,-10.35,0.92,5.39,647.84,438.12,13.07,5.28,8.63,-1.68
class-00000001,-9.64,-0.04,4.11,585.49,396.39,11.77,7.07,14.21,-1.86
class-00000001,-10.25,-1.55,4.44,699.7,458.04,14.25,5.82,7.79,-1.01
class-00000001,-9.29,0.71,20.68,803.63,520.87,2.62,3.59,15.5,-2.09
class-00000001,-9.29,-0.13,1.09,440.6,305.28,27.98,15.12,16.86,-2.1
class-00000001,-9.2,0.32,3.82,540.09,367.43,7.66,6.08,14.96,-1.83
class-00000001,-10.89,0.17,8.42,664.05,447.06,8.21,4.52,10.94,-1.59
class-00000001,-9.87,-0.25,5.25,658.41,437.82,6.6,4.99,14.8,-1.93
class-00000001,-9.69,0.52,4,590.16,395.13,9.28,4.63,11.31,-1.55
class-00000001,-10.37,-1.12,4.12,565.88,384.35,12.81,7.29,13.01,-1.85
class-00000001,-10.51,0.34,2.67,510.38,352.57,11.35,5.8,12.33,-1.59
class-00000001,-11.92,-1.06,0.48,382.79,259.75,22.43,11.4,14.22,-1.3
class-00000001,-9.42,-0.81,3.85,599.12,400.93,13.25,8.49,14.66,-2.06
class-00000001,-9.25,-0.8,3.07,552.02,371.77,11.25,7.41,14.07,-2
class-00000001,-10.97,-0.89,4.45,504.99,346.05,11.83,5.79,9.79,-1.84
class-00000001,-10.06,-1.37,15.52,611.52,412.65,14.57,7.32,8.59,-1.94
class-00000001,-10.84,0.47,10.42,650.41,433.82,13.11,8.87,16.51,-2.02
class-00000001,-11.02,0.42,9,585.28,412.4,13.59,8.99,16.21,-2.05
class-00000001,-11.12,0.41,3.21,512.94,360.55,14.09,9.06,16.05,-1.96
class-00000001,-11.06,0.41,5.83,553.91,390.72,14.37,9.38,16.38,-2.03
class-00000001,-10.96,0.41,10.71,593.06,419.18,14.6,9.66,16.64,-2.09
class-00000001,-11.37,0.41,10.5,583.42,407.11,13,7.38,13.83,-1.71
class-00000001,-11.28,0.41,13.95,609.43,424.3,13.03,7.55,14.13,-1.77
class-00000001,-9.26,0.94,1.07,444.94,304.96,9.99,5.86,13.19,-2.04
class-00000001,-9.36,0.67,1.69,565.81,375.68,6.66,3.84,11.59,-1.77
class-00000001,-10.37,1.63,1.06,465.65,319.51,11.01,7.58,15.46,-1.86
class-00000001,-8.98,0.57,0.91,431.18,301.69,22.07,12.39,16.42,-2.04
class-00000001,-10.61,0.35,0.96,453.12,303.97,11.07,6.81,15.18,-1.73
class-00000001,-9.43,-0.8,9.8,704.28,463.28,12.71,8,14.14,-2.11
class-00000001,-10.01,1.47,2.31,481.08,325.62,15.76,8.07,12.73,-1.47
class-00000001,-9.04,-0.06,1.12,463.53,318.72,25.69,13.49,15.7,-2
class-00000001,-9.07,0.33,0.92,451.32,306.98,18.98,10.56,15.72,-1.92
class-00000001,-9.62,-1.25,4.64,647.57,427.04,14.36,7.89,13.05,-1.66
